title,total_sales,release_date,critic_score,genre,publisher
.hack//G.U. Vol.2//Reminisce,0.23,2007-05-08,6.2,Role-Playing,Namco Bandai
.hack//G.U. Vol.3//Redemption,0.17,2007-09-10,5.7,Role-Playing,Namco Bandai
.hack//Infection Part 1,1.27,2003-02-11,7.7,Role-Playing,Bandai
.hack//Mutation Part 2,0.68,2003-05-07,7.5,Role-Playing,Bandai
.hack//Outbreak Part 3,0.46,2003-09-09,7.1,Role-Playing,Bandai
.hack//Quarantine Part 4: The Final Chapter,0.18,2004-01-14,6.8,Role-Playing,Bandai
007 Legends,0.13,2012-12-11,4.2,Shooter,Activision
007 Racing,0.53,2000-11-20,6.1,Racing,Electronic Arts
007: Quantum of Solace,3.86,2008-11-04,5.6,Action,Activision
007: The World is Not Enough,1.55,2000-10-17,7.4,Shooter,Electronic Arts
007: The World is not Enough,0.92,2000-11-06,6.4,Shooter,Electronic Arts
007: Tomorrow Never Dies,3.21,1999-11-16,6.2,Shooter,Electronic Arts
100 Classic Books,0.67,2010-06-14,4.0,Misc,Nintendo
18 Wheeler: American Pro Trucker,0.51,2001-11-14,5.0,Racing,Acclaim Entertainment
2002 FIFA World Cup,0.64,2002-04-22,7.4,Sports,EA Sports
2010 FIFA World Cup South Africa,2.9699999999999998,2010-04-27,6.8,Sports,EA Sports
2014 FIFA World Cup Brazil,1.1,2014-04-15,7.3,Sports,EA Sports
2Xtreme,1.4,1996-10-31,8.3,Sports,Sony Computer Entertainment
300: March to Glory,0.41,2007-02-27,4.9,Action,Warner Bros. Interactive
3D Baseball,0.03,1996-11-27,7.6,Sports,Mindscape
3D Lemmings,0.06,1995-11-01,7.0,Puzzle,Psygnosis
3Xtreme,0.9,1999-03-31,2.9,Action,989 Studios
40 Winks,0.31,1999-11-14,5.5,Platform,GT Interactive
4X4 EVO 2,0.14,2002-09-09,5.1,Racing,VU Games
50 Cent: Blood on the Sand,0.4,2009-02-24,7.2,Shooter,THQ
50 Cent: Bulletproof,0.09,2006-08-29,5.5,Action,Vivendi Games
7 Wonders of the Ancient World,0.08,2007-04-23,5.4,Puzzle,Mumbo Jumbo
7th Dragon III Code: VFD,0.24,2016-07-12,7.5,Role-Playing,Sega
"999: Nine Hours, Nine Persons, Nine Doors",0.37,2010-11-16,7.9,Adventure,Aksys Games
A Boy and His Blob,0.21,2009-10-13,7.9,Platform,Majesco
A Bug's Life,3.42,1998-10-31,3.6,Platform,Activision
A Collection of Activision Classic Games for the Atari 2600,1.37,1998-09-23,3.8,Misc,Activision
A Collection of Intellivision Classic Games,0.31,1999-10-30,4.3,Misc,Activision
A Game of Thrones: Genesis,0.03,2011-09-28,4.9,Strategy,Focus Home Interactive
A Sound of Thunder,0.0,2005-02-01,6.8,Action,BAM! Entertainment
A Way Out,0.72,2018-03-23,7.5,Action,Electronic Arts
A Witch's Tale,0.11,2009-10-06,5.0,Role-Playing,NIS America
A-Train,0.08,1996-01-01,6.0,Strategy,Maxis
A-Train HX,0.0,2008-03-07,2.0,Simulation,505 Games
AC/DC LIVE: Rock Band Track Pack,0.23,2008-11-16,6.7,Misc,MTV Games
ARK: Survival Evolved,0.08,2018-11-30,4.0,Action-Adventure,Studio Wildcard
ATV Offroad Fury,2.41,2001-02-05,8.4,Racing,Sony Computer Entertainment
ATV Offroad Fury 2,2.18,2002-11-09,8.7,Racing,Sony Computer Entertainment
ATV Offroad Fury 3,1.2,2004-11-02,7.5,Racing,Sony Computer Entertainment
ATV Offroad Fury Pro,0.46,2006-10-26,7.6,Racing,Sony Computer Entertainment
ATV Offroad Fury: Blazin' Trails,0.57,2005-04-19,5.9,Racing,Sony Computer Entertainment
ATV: Quad Power Racing,0.26,2002-08-20,5.5,Racing,Acclaim Entertainment
Academy of Champions: Soccer,0.12,2009-11-03,7.1,Sports,Ubisoft
Ace Attorney Investigations: Miles Edgeworth,0.7,2010-02-16,7.7,Adventure,Capcom
Ace Combat: Assault Horizon,1.23,2011-10-11,7.0,Action,Namco Bandai
Ace Combat: Assault Horizon Legacy,0.25,2011-11-15,7.0,Simulation,Namco Bandai
Ace Combat: Joint Assault,0.29,2010-08-31,7.0,Simulation,Namco Bandai
Act of War: Direct Action,0.0,2005-03-15,8.2,Strategy,Atari
Act of War: High Treason,0.0,2006-05-30,6.8,Strategy,Atari
Action Bass,1.14,2000-07-14,5.1,Action,Take-Two Interactive
Activision Anthology,0.05,2003-12-08,8.0,Misc,Activision
Activision Hits: Remixed,0.05,2006-11-08,7.4,Misc,Activision
Adidas Power Soccer,0.04,1996-08-31,7.0,Sports,Psygnosis
Adidas Power Soccer 98,0.02,1998-06-30,5.8,Sports,Psygnosis
Adrenalin Misfits,0.14,2010-11-04,4.7,Racing,Konami
Advance Guardian Heroes,0.04,2004-09-14,7.0,Role-Playing,Ubisoft
Advance Wars,0.7,2001-09-09,9.4,Strategy,Nintendo
Advance Wars 2: Black Hole Rising,0.65,2003-06-24,8.8,Strategy,Nintendo
Advance Wars: Days of Ruin,0.61,2008-01-21,8.4,Strategy,Nintendo
Advance Wars: Dual Strike,0.39,2005-08-22,9.0,Strategy,Nintendo
Adventure Time: Explore the Dungeon Because I Don't Know!,0.04,2013-12-12,2.8,Action-Adventure,D3Publisher
Aedis Eclipse: Generation of Chaos,0.02,2007-04-24,5.8,Role-Playing,NIS America
Aegis of Earth: Protonovus Assault,0.04,2016-03-15,4.0,Action,Aksys Games
Aero Gauge,0.07,1998-05-21,4.5,Racing,ASCII Entertainment
Aero The Acro-Bat,0.0,2002-05-14,7.2,Platform,Metro 3D
AeroFighters Assault,0.19,1997-10-30,5.4,Action,Victory Lap Games
Afrika,0.22,2009-10-06,6.0,Adventure,Natsume
Afro Samurai,0.44,2009-01-27,6.4,Action,Namco Bandai
After Burner: Black Falcon,0.01,2007-03-20,7.4,Simulation,Sega
Again,0.07,2010-03-30,6.0,Adventure,KOEI
Agatha Christie: The ABC Murders,0.1,2009-11-04,6.0,Adventure,DreamCatcher Interactive
Age of Conan: Rise of the Godslayer,0.03,2010-05-11,7.9,Role-Playing,Funcom
Age of Empires Online,0.06,2011-08-16,7.0,Strategy,Microsoft Game Studios
Age of Empires: Mythologies,0.21,2008-11-24,8.2,Strategy,THQ
Age of Mythology: The Titans,0.06,2003-09-30,8.2,Strategy,Microsoft Game Studios
Aggressive Inline,0.48,2002-05-28,7.3,Sports,Acclaim Entertainment
Agony,0.03,2018-05-29,5.0,Action-Adventure,Maximum Games
Aidyn Chronicles: The First Mage,0.1,2001-03-14,6.0,Role-Playing,THQ
Aion: Tower of Eternity,0.0,2009-09-22,7.4,Role-Playing,NCSoft
Air Conflicts: Aces of World War II,0.05,2009-04-07,3.3,Simulation,Graffiti
Air Conflicts: Secret Wars,0.08,2011-09-28,6.0,Simulation,Kalypso
Air Traffic Chaos,0.05,2008-09-09,6.8,Simulation,Majesco
AirForce Delta Storm,0.02,2002-09-16,7.5,Shooter,Konami
Akuji the Heartless,0.12,1998-12-31,6.7,Platform,Eidos Interactive
Alan Wake,1.33,2010-05-18,8.3,Action,Microsoft Game Studios
Alex Rider: Stormbreaker,0.07,2006-10-02,4.0,Action,THQ
Alexi Lalas International Soccer,0.07,1999-04-30,4.4,Sports,Take-Two Interactive
Alice in Wonderland,0.99,2010-03-02,6.3,Adventure,Disney Interactive Studios
Alice: Madness Returns,1.21,2011-06-14,6.7,Adventure,Electronic Arts
