year,publisher,total_sales,critic_score,highestSales,lowestSales,highestScore,lowestScore
1989,Ultra Games,4.17,5.9,Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles
1991,Square,0.38,9,Final Fantasy Adventure,Final Fantasy Adventure,Final Fantasy Adventure,Final Fantasy Adventure
1993,Activision,0.18,8,Doom,Doom,Doom,Doom
1993,LucasArts,0,9,Sam & Max Hit the Road,Sam & Max Hit the Road,Sam & Max Hit the Road,Sam & Max Hit the Road
1993,Maxis,2.14,8,SimCity 2000,SimCity 2000,SimCity 2000,SimCity 2000
1993,Square,0.76,7,Final Fantasy Legend III,Final Fantasy Legend III,Final Fantasy Legend III,Final Fantasy Legend III
1994,Activision,3.65,8.1,Doom II,Doom II,Doom II,Doom II
1994,Sega,0.19,9,Shining Force II,Shining Force II,Shining Force II,Shining Force II
1995,ASCII Entertainment,0.16,7.1,King's Field,King's Field,King's Field,King's Field
1995,Capcom,0.55,8.3,Breath of Fire II,Breath of Fire II,Breath of Fire II,Breath of Fire II
1995,Namco,0.79,9,Ridge Racer,Ridge Racer,Ridge Racer,Ridge Racer
1995,Psygnosis,0.06,7,3D Lemmings,3D Lemmings,3D Lemmings,3D Lemmings
1995,Sega,1.07,9,Virtua Fighter,Virtua Fighter,Virtua Fighter,Virtua Fighter
1995,Sierra Entertainment,1.11,6,You Don't Know Jack,You Don't Know Jack,You Don't Know Jack,You Don't Know Jack
1995,Sony Computer Entertainment,1.56,7,Twisted Metal,Twisted Metal,Twisted Metal,Twisted Metal
1995,Ubisoft,3.03,7,Rayman,Rayman,Rayman,Rayman
1996,ASCII Entertainment,0.26,7.3,King's Field II,King's Field II,King's Field II,King's Field II
1996,Acclaim Entertainment,0.115,6.05,Bust-A-Move 2 Arcade Edition,Batman Forever: The Arcade Game,Bust-A-Move 2 Arcade Edition,Batman Forever: The Arcade Game
1996,Accolade,0.19,5.8,Bubsy 3D,Bubsy 3D,Bubsy 3D,Bubsy 3D
1996,Atlus,0.45,8.1,Persona,Persona,Persona,Persona
1996,Capcom,1.34,8,Street Fighter Alpha 2,Street Fighter Alpha 2,Street Fighter Alpha 2,Street Fighter Alpha 2
1996,Crystal Dynamics,0.44,7.8,Blood Omen: Legacy of Kain,Blood Omen: Legacy of Kain,Blood Omen: Legacy of Kain,Blood Omen: Legacy of Kain
1996,EA Sports,0.77,7.3,Andretti Racing,Andretti Racing,Andretti Racing,Andretti Racing
1996,Eidos Interactive,5.66,8.7,Tomb Raider,Tomb Raider,Tomb Raider,Tomb Raider
1996,Fox Interactive,1.54,8.5,Die Hard Trilogy,Die Hard Trilogy,Die Hard Trilogy,Die Hard Trilogy
1996,Interplay,0.83,4.9,Casper,Casper,Casper,Casper
