year,genre,Total_Sales
1977,Action,1.25
1977,Racing,0.27
1977,Shooter,0.98
1978,Action,1.1800000000000002
1978,Puzzle,1.03
1978,Sports,0.15
1979,Action,0.31
1980,Fighting,1.31
1980,Misc,0.51
1980,Sports,0.51
1981,Action,1.88
1981,Shooter,7.119999999999999
1981,Sports,0.49
1982,Action,15.91
1982,Platform,1.47
1982,Puzzle,2.2399999999999998
1982,Racing,0.48
1982,Shooter,12.42
1982,Sports,0.79
1983,Action,7.93
1983,Platform,7.3100000000000005
1983,Puzzle,3.4699999999999998
1983,Racing,2.44
1983,Shooter,1.8900000000000001
1983,Sports,1.05
1984,Action,2.63
1984,Platform,0.69
1984,Puzzle,0.78
1984,Shooter,0.75
1985,Action,0.45
1985,Platform,0.51
1985,Puzzle,0.82
1986,Action,1.7199999999999998
1986,Fighting,1.05
1986,Platform,3.62
1986,Shooter,3.93
1986,Simulation,0.03
1987,Action,0.65
1987,Platform,2.68
1987,Puzzle,1.12
1987,Role-Playing,1.25
1987,Shooter,0.26
1987,Sports,0.29
1988,Action,0.47
1988,Platform,1.98
1988,Role-Playing,2.26
1988,Shooter,1.92
1988,Sports,2.35
1989,Action,7.38
1989,Puzzle,1.4000000000000001
1989,Role-Playing,1.1
1989,Sports,2.05
1990,Action,4.83
1990,Platform,0.85
1990,Puzzle,0.15
1990,Shooter,1.52
1990,Sports,1.72
1991,Action,0.48
1991,Adventure,0.38
1991,Fighting,0.39
1991,Misc,0.08
1991,Platform,0.63
1991,Puzzle,0.32
1991,Role-Playing,0.33999999999999997
1991,Shooter,0.35
1991,Sports,2.39
1991,Strategy,0.69
1992,Action,1.39
1992,Adventure,0.64
1992,Platform,3.37
1992,Puzzle,1.17
1992,Racing,0.28
1992,Role-Playing,0.8799999999999999
1992,Shooter,0.13
1992,Sports,1.4300000000000002
1992,Strategy,0.29
1993,Action,0.43
1993,Adventure,0.12
1993,Fighting,7.0200000000000005
1993,Misc,0.3
1993,Platform,0.9
1993,Puzzle,5.19
1993,Racing,0.01
1993,Role-Playing,2.02
1993,Shooter,1.48
1993,Simulation,4.59
1993,Sports,6.930000000000001
1993,Strategy,0.9299999999999999
1994,Action,3.62
1994,Adventure,0.8800000000000001
1994,Fighting,8.73
1994,Misc,0.47
1994,Platform,5.17
1994,Puzzle,0.81
1994,Racing,1.02
1994,Role-Playing,1.9100000000000001
1994,Shooter,3.92
1994,Simulation,1.61
1994,Sports,5.28
1994,Strategy,1.42
1995,Action,2.9
