,year,publisher,total_sales,critic_score,highestSales,lowestSales,highestScore,lowestScore
0,1989,Ultra Games,4.17,5.9,Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles
1,1991,Square,0.38,9.0,Final Fantasy Adventure,Final Fantasy Adventure,Final Fantasy Adventure,Final Fantasy Adventure
2,1993,Activision,0.18,8.0,Doom,Doom,Doom,Doom
3,1993,LucasArts,0.0,9.0,Sam & Max Hit the Road,Sam & Max Hit the Road,Sam & Max Hit the Road,Sam & Max Hit the Road
4,1993,Maxis,2.14,8.0,SimCity 2000,SimCity 2000,SimCity 2000,SimCity 2000
5,1993,Square,0.76,7.0,Final Fantasy Legend III,Final Fantasy Legend III,Final Fantasy Legend III,Final Fantasy Legend III
6,1994,Activision,3.65,8.1,Doom II,Doom II,Doom II,Doom II
7,1994,Sega,0.19,9.0,Shining Force II,Shining Force II,Shining Force II,Shining Force II
8,1995,ASCII Entertainment,0.16,7.1,King's Field,King's Field,King's Field,King's Field
9,1995,Capcom,0.55,8.3,Breath of Fire II,Breath of Fire II,Breath of Fire II,Breath of Fire II
10,1995,Namco,0.79,9.0,Ridge Racer,Ridge Racer,Ridge Racer,Ridge Racer
11,1995,Psygnosis,0.06,7.0,3D Lemmings,3D Lemmings,3D Lemmings,3D Lemmings
12,1995,Sega,1.07,9.0,Virtua Fighter,Virtua Fighter,Virtua Fighter,Virtua Fighter
13,1995,Sierra Entertainment,1.11,6.0,You Don't Know Jack,You Don't Know Jack,You Don't Know Jack,You Don't Know Jack
14,1995,Sony Computer Entertainment,1.56,7.0,Twisted Metal,Twisted Metal,Twisted Metal,Twisted Metal
15,1995,Ubisoft,3.03,7.0,Rayman,Rayman,Rayman,Rayman
16,1996,ASCII Entertainment,0.26,7.3,King's Field II,King's Field II,King's Field II,King's Field II
17,1996,Acclaim Entertainment,0.115,6.050000000000001,Bust-A-Move 2 Arcade Edition,Batman Forever: The Arcade Game,Bust-A-Move 2 Arcade Edition,Batman Forever: The Arcade Game
18,1996,Accolade,0.19,5.8,Bubsy 3D,Bubsy 3D,Bubsy 3D,Bubsy 3D
19,1996,Atlus,0.45,8.1,Persona,Persona,Persona,Persona
20,1996,Capcom,1.34,8.0,Street Fighter Alpha 2,Street Fighter Alpha 2,Street Fighter Alpha 2,Street Fighter Alpha 2
21,1996,Crystal Dynamics,0.44,7.8,Blood Omen: Legacy of Kain,Blood Omen: Legacy of Kain,Blood Omen: Legacy of Kain,Blood Omen: Legacy of Kain
22,1996,EA Sports,0.77,7.3,Andretti Racing,Andretti Racing,Andretti Racing,Andretti Racing
23,1996,Eidos Interactive,5.66,8.7,Tomb Raider,Tomb Raider,Tomb Raider,Tomb Raider
24,1996,Fox Interactive,1.54,8.5,Die Hard Trilogy,Die Hard Trilogy,Die Hard Trilogy,Die Hard Trilogy
25,1996,Interplay,0.83,4.9,Casper,Casper,Casper,Casper
26,1996,Konami,0.47000000000000003,7.566666666666666,Contra: Legacy of War,Bottom of the 9th,Suikoden,Contra: Legacy of War
27,1996,Maxis,0.08,6.0,A-Train,A-Train,A-Train,A-Train
28,1996,Microprose,0.0,9.1,Sid Meier's Civilization II,Sid Meier's Civilization II,Sid Meier's Civilization II,Sid Meier's Civilization II
29,1996,Microsoft,5.12,7.0,Microsoft Flight Simulator,Microsoft Flight Simulator,Microsoft Flight Simulator,Microsoft Flight Simulator
30,1996,Midway Games,0.53,8.1,Wayne Gretzky's 3D Hockey,Wayne Gretzky's 3D Hockey,Wayne Gretzky's 3D Hockey,Wayne Gretzky's 3D Hockey
31,1996,Mindscape,0.09,7.1,Blazing Dragons,3D Baseball,3D Baseball,Blazing Dragons
32,1996,Namco,5.74,9.1,Tekken 2,Tekken 2,Tekken 2,Tekken 2
33,1996,Playmates,0.12,6.0,Burning Road,Burning Road,Burning Road,Burning Road
34,1996,Psygnosis,0.04,7.0,Adidas Power Soccer,Adidas Power Soccer,Adidas Power Soccer,Adidas Power Soccer
35,1996,SSI,0.19,6.3,Allied General,Allied General,Allied General,Allied General
